,3c,3c+1d,4c,4c+1d,5c,5c+1d
0,45475.25407762315,38439.82987635576,16400.04067272427,12683.518267717409,219369.72890823372,4698.445255704268
1,95147.57422951644,45983.25073048883,43391.1741916729,42408.648011924015,244480.45021305533,38824.076567957
2,275107.75163361704,237004.88820837057,217721.89797914092,206305.3332400785,200518.4466041559,200518.4466041559
3,360444.23223506287,347652.1669472925,452695.56532112026,294794.58140576555,325311.1628676431,258454.0839456177
4,206639.316908571,201181.55517806785,173422.02932918604,173422.02932918604,174472.915067762,170870.66730886043
5,21487.756948009137,19330.34168642929,18015.029508414143,17577.33162849766,17716.967688624947,17716.967688624947
6,248191.9080101631,161792.85600539425,609740.8917226584,90250.99264634236,99321.01837089396,77008.93572062983
7,69048.25012624827,32958.265682732854,23676.664198551,20115.8684211588,22621.0747470535,19616.128124791463
8,177010.83967846312,158456.98446905275,137788.23643966354,134043.20751763973,140665.98204634394,124968.32392135798
9,95066.42849834965,68752.80611372649,76359.94555923021,46715.55670680509,62933.306735899016,44573.864177050425
10,156966.17101103815,114344.46353148612,79667.53595268249,67423.14200153547,59385.241390318886,59385.241390318886
11,97347.13114104127,84478.2696312096,20268.27604671713,18586.16879912711,14748.815998399625,14748.815998399625
12,140318.76765650412,109578.43514330604,91792.35514513716,58860.47184148699,49057.11239885444,41591.55877721058
13,292848.9443824323,251338.41132561516,464687.71272669785,167857.02291719092,173854.40514908166,162130.1535870973
14,111942.36477656524,63016.236841187565,70727.46721285417,27031.68716942117,60117.71052460269,21537.580899721364
15,219200.0678017682,152306.18352026932,451314.5593297391,141828.92695523714,119251.5133111098,111308.82639222768
16,157213.1617384043,145854.0365045977,65365.65598074487,29854.64777500604,30558.849235167138,25837.53725090476
17,865552.3116090278,326314.68600759044,811853.0446932116,296025.99946426664,282028.12890052,282028.12890052
18,348498.4414129464,293496.1630199481,302506.6604061976,302506.6604061976,250398.6432099952,235846.09748847908
19,340147.5024479572,323011.13377560483,238558.3374991069,206931.7682918673,192876.436570906,173481.77710860045
